,Unnamed: 0,audio_id,first_label_hts,first_prob_hts,next_label_hts,next_prob_hts,first_label_res,first_prob_res,next_label_res,next_prob_res,Label_audio_1,Label_audio_2
37,37,75322523c51f40089572e0965dc4c734.wav,cat,2.0948846,chirping_birds,1.9350176,door_wood_knock,-0.6377015,water_drops,0.110042006,0,1
38,38,6655894173754c53b288707cb43a18b3.wav,cow,3.1482105,siren,3.3707502,rooster,-1.1599497,cat,-1.8413938,2,1
39,39,d5fdbe959525462eb7ef7075364fb199.wav,cat,2.8498235,dog,2.1674395,crying_baby,-2.7861612,dog,-2.6158874,1,2
40,40,cf880c9950634d0eb9e87d3f2c7fee75.wav,crying_baby,2.163473,siren,1.851116,rooster,-3.1773856,hen,-1.224626,0,0
41,41,1b4feb653b234c18bc7f6f263c0709c7.wav,cat,4.7425675,siren,3.2239623,water_drops,-1.8135382,coughing,-2.18869,1,0
42,42,64cfdfa15f714a2fab83cee709750b16.wav,cat,3.9132807,mouse_click,3.704442,water_drops,-0.95884824,clock_tick,0.70243084,1,0
43,43,934150c1501042199b28f7f1dce4e106.wav,snoring,1.7008022,siren,3.0827336,rooster,-2.077684,cat,-1.9105533,2,1
44,44,8b763173d3e94667a432cf987466de3f.wav,water_drops,1.0752748,car_horn,3.7434547,chirping_birds,-4.0079074,mouse_click,-2.4233754,0,0
45,45,ef8e3a3c90e84a5c83c5d7c7fc1b1888.wav,water_drops,1.0730447,water_drops,1.4896032,hen,-1.6033934,chirping_birds,-2.351958,0,0
46,46,379c0d67b0864fbea779fe50dab88861.wav,clock_tick,2.1817794,clock_tick,2.1105657,chirping_birds,-1.3329018,chirping_birds,-2.6342225,0,0
47,47,bd77441cb07d438895416c9741fa4b47.wav,rooster,1.1878587,rooster,1.2588853,hen,-0.58377355,church_bells,-2.1983519,0,0
48,48,8dc64833cc1a451b92a51cfa6eaae6d3.wav,clock_tick,1.9817382,clock_tick,2.710498,clock_tick,-2.3119645,breathing,-1.6736062,0,0
49,49,1534b50ed4424da0b03a136733177256.wav,rooster,2.4521284,hen,3.2449067,rooster,-1.9923693,thunderstorm,-2.2934473,0,0
50,50,262e8d6c7d0047f4b735090792fd02cd.wav,chirping_birds,2.2024996,rooster,2.6205394,hen,-1.1418891,hen,-1.9374478,0,0
51,51,d367df0ac17d40279ae980680abf593c.wav,car_horn,2.3545136,laughing,2.7016633,drinking_sipping,-1.2805021,water_drops,-2.8371344,0,0
52,52,01ae7c3c99b440efb9cadeafde7ba88d.wav,chirping_birds,2.9250474,water_drops,1.6586778,chirping_birds,-1.0226976,coughing,-0.5255353,0,0
53,53,2d608140831846888457244b6ca504eb.wav,clock_tick,2.885246,clock_tick,2.375916,hen,-0.961987,hen,-1.2479858,0,0
54,54,0028c2d0de344f68b64739658fcd5112.wav,clock_tick,2.4568949,clock_tick,3.1809974,chirping_birds,-0.50665724,hen,-1.6925004,0,0
55,55,abca455a42134661b3ab27af28258e11.wav,water_drops,2.0794768,clock_tick,3.1075013,hen,-0.6758956,chirping_birds,-1.3994536,0,0
56,56,c753692c9cfb43b2800bf38614c1d40b.wav,clock_tick,4.162236,clock_tick,3.5724263,chirping_birds,-1.8507067,chirping_birds,-2.003069,0,0
57,57,6d991adfd11c4e5e949256f28d844f27.wav,hen,3.5600533,chirping_birds,1.6517528,chirping_birds,-1.9590762,chirping_birds,-2.4829195,0,0
58,58,c3f2ca7fe128457b95759428fbbaad46.wav,clock_tick,2.5256062,clock_tick,5.0027404,hen,-1.3949101,chirping_birds,-2.2206109,0,0
59,59,becd6a130bd6459aa68dccd7a8234318.wav,clock_tick,2.3160548,clock_tick,4.787295,chirping_birds,-1.6653069,chirping_birds,-2.4154787,0,0
60,60,c4e94192c1d0404c86ea531f30df70fe.wav,clock_tick,3.6121137,clock_tick,4.1375575,chirping_birds,-0.71584445,breathing,-1.146432,0,0
61,61,e5ee260deb6c498aae338bd9c0f67e7e.wav,water_drops,1.8315538,water_drops,1.8858247,hen,-0.62647015,chirping_birds,-0.3860743,0,0
62,62,f724a75902a547b49b0396ad587a524b.wav,clock_tick,2.632302,clock_tick,4.4496536,hen,-2.1971319,chirping_birds,-2.4637885,0,0
63,63,9800a384fb444fb1b3e1f0b71ddd749f.wav,water_drops,1.4717166,clock_tick,2.279519,chirping_birds,-2.6636767,hen,-0.8871634,0,0
64,64,becb81afcfba44b0a569ded5e9ac26d9.wav,water_drops,2.473099,clock_tick,2.4306045,hen,-1.4413102,hen,-1.5471712,0,0
65,65,8a31478218194a6c9291e886ca4dcc72.wav,rooster,1.3427472,water_drops,2.8953378,hen,-1.7211871,breathing,-2.3695571,0,0
66,66,ff1f868c5d97474b96728917e9e6613e.wav,clock_tick,3.4863317,clock_tick,3.6768622,chirping_birds,-1.0036548,snoring,-1.4038732,0,0
67,67,53ee5c07af674151b1109240768e4c61.wav,water_drops,3.152872,clock_tick,4.201956,chirping_birds,-1.4038996,chirping_birds,-1.154706,0,0
68,68,cb97907ed9ed4dbeb56bae46a2592099.wav,crying_baby,3.3050537,mouse_click,3.5298994,rooster,-0.8713231,clock_tick,0.62405425,1,0
69,69,d83214329a384a1ba3452c20966a6f96.wav,cat,4.1284738,mouse_click,2.9994543,door_wood_knock,1.2259598,clock_tick,-0.79925984,0,0
70,70,4ae3d0f9d48b4577a640358931856a31.wav,crying_baby,4.4188185,crying_baby,3.7696772,water_drops,-1.7392883,mouse_click,-3.3810549,1,1
71,71,c33774e77f3247f2b9b4d152399c9923.wav,crying_baby,4.6178446,crying_baby,4.5562654,cat,-3.4003162,cat,-3.1364567,1,1
72,72,1889c251abdf47ffb625e8cf1c99f8f1.wav,cat,1.9777496,cat,3.1492927,clock_tick,-1.2178534,breathing,-2.831554,0,0
73,73,ba69dc54729f4629b8bd7f695cfa3443.wav,rooster,3.3823886,rooster,2.9107227,coughing,-1.5283302,mouse_click,-2.9591098,0,0
74,74,89f63d3b0d5d4de980b9cec721f87e29.wav,cat,1.8376364,crying_baby,1.9484553,footsteps,-3.9097557,hen,-0.4941755,1,0
75,75,d7bc1dbc2b454f67a6189f51aa1bbbd4.wav,chirping_birds,3.037078,chirping_birds,3.470844,crow,-1.6448792,crow,-1.8076228,1,1
76,76,8cc744708db846be8e79a989d9ba1c9e.wav,chirping_birds,2.261206,rooster,4.877111,dog,-1.530913,breathing,-2.785897,0,1
77,77,20d01ac4f5ac4daaaffe5d2695e65a22.wav,crying_baby,2.4214845,cat,2.7873936,footsteps,-3.0067916,water_drops,-2.9052393,1,1
78,78,df5bc1e2bc41439e8f20f9b91b0f6f00.wav,crow,2.8957875,rooster,4.0053415,door_wood_knock,-1.6465871,chirping_birds,-2.8443024,2,1
79,79,6c0d6e03bbf24593b21c997a9f73327a.wav,mouse_click,2.0995786,cat,3.483192,clock_tick,-2.0276768,hen,-3.3679898,0,0
80,80,30cf15de0c984c42a852d3bcd2de4066.wav,crying_baby,2.911022,rooster,3.2055917,breathing,-1.315241,breathing,-2.1009045,0,0
81,81,96820841119e423585309fe1247e68c5.wav,rooster,1.8570023,siren,2.3346124,footsteps,-2.6374729,hen,0.44673944,1,0
82,82,8f742bb193474410b401a909524c724c.wav,chirping_birds,2.8328493,chirping_birds,2.8782675,crow,-1.3702186,breathing,-2.5006907,1,1
83,83,25d69e9a04604d0e84996d8d190fee37.wav,chirping_birds,3.204659,crow,3.9152596,hen,-2.8352726,water_drops,-2.0038013,1,1
84,84,4477cd99cfce45c89eb6b4027768cd98.wav,cat,2.9380634,rooster,3.414861,water_drops,-2.331992,breathing,-1.5465634,1,1
85,85,95d7b021e6804bf6ad873badf80dbf83.wav,rooster,2.4152074,cat,3.6845438,dog,-1.8665013,coughing,-1.4678681,1,1
86,86,74c1d9d7948d4ac29a99c5c81b269fba.wav,crying_baby,3.9589598,rooster,4.4652987,crying_baby,-1.1993053,water_drops,-2.126284,1,0
87,87,2af11661ad024e11b079cd669bbee786.wav,car_horn,2.2813978,frog,1.8060789,dog,-3.3485236,hen,-2.0451026,0,0
88,88,5948835333984bac99c08e32477d8663.wav,rooster,1.5034889,mouse_click,1.6661994,cat,-3.1954525,coughing,-1.0705932,1,0
89,89,33c8c19ca2854494b5abc71364f64483.wav,chirping_birds,2.8881783,chirping_birds,2.842376,crow,-2.2263362,hen,-2.0841672,1,2
90,90,2333faebb6a6447389759d497261eee4.wav,cat,2.3225417,rooster,3.5952573,cat,-2.4474325,chirping_birds,-3.214666,2,2
91,91,cb5792e31b2342f3be7aadaadff21c15.wav,crying_baby,2.642081,chirping_birds,3.0315201,water_drops,-3.4594414,chirping_birds,-1.3727624,2,2
92,92,3f6d28eaf9354f0486ebfb5592c211de.wav,rooster,2.421221,siren,1.7643584,breathing,-2.6014767,clock_alarm,-1.9689556,2,1
93,93,3929f47ffa30437dbe2022beb0da2158.wav,rooster,4.510714,cat,2.7864265,coughing,-1.7639592,coughing,-1.3422605,1,1
94,94,031ae1cd94db4b3dba71dc66bbd31a76.wav,crying_baby,3.627493,crying_baby,3.6362624,breathing,0.024215518,water_drops,-2.6439228,1,1
95,95,abd76d6f2d5147cf8d2316c66d6b519c.wav,crying_baby,2.5546663,dog,2.0087879,chirping_birds,-0.7232321,hen,-0.912074,1,2
96,96,fe3dd354940d4a289e8d43cf77cb5f0a.wav,snoring,1.2438941,mouse_click,3.7812123,water_drops,-2.3738863,clock_tick,-0.5884469,0,0
97,97,60b277bab7914c80a66835e5f0abcc9c.wav,cat,4.7087793,cat,3.66681,water_drops,-1.9066871,chirping_birds,-0.88685155,1,2
98,98,a7eb91f4a9a2451b91e6f9f7738e1446.wav,rooster,2.7862277,cat,3.0395713,snoring,-3.4652243,breathing,-2.3260386,2,2
99,99,51586a9f06814ed2b3646b0e3b96f8ee.wav,crying_baby,2.430628,rooster,4.1496887,cat,-3.0796773,footsteps,-4.2071495,1,2
100,100,def5327fe3a947668124726e3e895fb3.wav,rooster,3.125964,chirping_birds,3.4103386,coughing,-0.9115016,water_drops,-2.1300821,1,1
101,101,f4bd907dc840437f8261031237b93550.wav,crying_baby,3.5797706,rooster,4.1003304,water_drops,-1.3961399,water_drops,-3.3721175,1,1
102,102,856ffb6ec83b42e28c8b81e60d352d78.wav,crying_baby,3.6775513,rooster,3.5800977,crying_baby,-0.58638316,coughing,-2.5093865,1,2
103,103,62fa367816ce4b5c92f80daff505a4cb.wav,wind,1.432413,cat,3.0400867,clock_tick,-0.83730364,water_drops,-2.6413796,0,0
104,104,c0c01e54c1014266a3d6d4d5ee6a91e9.wav,crying_baby,2.1579576,rooster,3.9137304,glass_breaking,-2.1531734,water_drops,-2.4704833,2,0
105,105,26cbe5b773384e86abe099e2f1ec6882.wav,rooster,1.9649854,mouse_click,2.9674122,hen,-2.3736186,clock_tick,-0.08317861,0,2
106,106,edcc298413d6492c9656f97f626c89f1.wav,cat,4.6422873,cat,3.9877768,coughing,-1.6215584,chirping_birds,-2.2275262,2,2
107,107,96ccbdc942ef483c90614ab7c81d44e5.wav,crow,2.3670452,chirping_birds,2.5993416,chirping_birds,-3.9255989,dog,-1.702891,2,2
108,108,b3bd4f11110646c2b961b96cd2290972.wav,crying_baby,3.7108197,crying_baby,4.3429403,water_drops,-3.8038054,water_drops,-2.8016622,1,1
109,109,25ee5d0df60a4bb9a591e94b67a61080.wav,cat,3.7890122,crying_baby,3.608294,dog,-3.0742538,water_drops,-2.4229999,2,2
110,110,e92d19001e834d6cb3c4081611b98cb7.wav,siren,1.8310562,mouse_click,3.2928798,hen,-2.3936841,door_wood_knock,-0.36834964,0,0
111,111,5e825b357db7443d9e9fc395ea86f75c.wav,cat,5.0720167,cat,3.0382097,breathing,-2.764778,chirping_birds,-0.79768854,2,2
112,112,f964e64f21234b879d57e4bbfc22fc26.wav,chirping_birds,2.3362892,cat,3.193379,snoring,-2.9568858,mouse_click,-2.1780205,2,2
113,113,8efa5d3f49b74c108d9c1ac5e3d0ebf3.wav,rooster,2.879695,rooster,3.1320734,cat,-2.7556884,breathing,-2.0558844,1,1
114,114,c3da618cf19e4ba5bff64e580b38c53b.wav,cat,4.163909,cat,3.9900105,breathing,-1.7809967,glass_breaking,-2.6116283,1,1
115,115,2f9ba6cc58be4b9b9f34a69d21ee9265.wav,cat,3.2631855,crying_baby,3.0369747,dog,-3.6850202,footsteps,-3.63445,1,1
116,116,712fd7dd0d1f4880b6a4b44ab3c4363c.wav,crying_baby,4.000991,chirping_birds,1.8646129,crying_baby,-1.4342003,water_drops,-3.1134386,1,2
117,117,a84c95b54b8e41c3a4c70d0cb29651df.wav,chirping_birds,2.3018634,rooster,2.980307,clock_tick,-0.7187609,hen,-2.6337864,0,0
118,118,ce15bb1c3fc64918a465b908741ecf24.wav,cat,3.8935487,rooster,3.726081,water_drops,-3.3661783,water_drops,-3.383997,1,2
119,119,cae558e595894078843226a0705f09a3.wav,rooster,2.7035394,chirping_birds,3.2983947,coughing,-0.99718165,crow,-1.1816984,2,2
120,120,03627ba7b7354b96a6469df4870c0b3c.wav,rooster,3.5896757,crow,5.039946,dog,-1.8236346,mouse_click,-1.0516256,2,1
121,121,54878f1daa14466a820d6d8542e22c3c.wav,cat,3.814151,cat,3.656436,mouse_click,-1.4331431,vacuum_cleaner,-3.668259,1,1
122,122,d6424772d6404265aff877a3552bc6b4.wav,cat,2.714476,crying_baby,3.5517318,crying_baby,-4.9141603,chirping_birds,-3.6582541,1,1
123,123,7ce8c0e6a4c34d01a0a62a7486ba3537.wav,cat,3.5972998,crying_baby,3.5025585,footsteps,-2.7145083,dog,-2.1725404,2,2
124,124,5b4db014ac3c47c787b2a1d7584163ea.wav,cat,4.622896,chirping_birds,3.055134,cat,-2.1982949,mouse_click,-2.4700594,1,2
125,125,da3179f6b147483cbc67ca1afe2a2ddc.wav,crying_baby,3.0241654,chirping_birds,2.3003297,dog,-1.5583527,chirping_birds,1.018056,2,1
126,126,74c59540117d49e6bc7d7d228025274b.wav,cow,2.5309732,siren,2.0371664,hen,-0.5863573,mouse_click,-1.6349984,2,0
127,127,f367eadd5c9a48c685a093896089e469.wav,crying_baby,3.0610619,crying_baby,3.154573,cat,-3.8524268,crying_baby,-3.6757252,1,1
128,128,e5e1676a694443b18a7d9f4bf3639f51.wav,cat,4.513117,cat,4.055173,coughing,-2.086529,cat,-2.0678563,2,2
129,129,7709cc9a6e484fb287c29be0a74d5cda.wav,chirping_birds,3.2868042,rooster,5.0017147,dog,-1.3902695,breathing,-1.8366534,0,2
130,130,0e649279c1ca473fa604571e4967af89.wav,pig,2.7699099,mouse_click,3.2586253,mouse_click,-0.5565492,door_wood_knock,-0.92444396,0,0
131,131,aa1a4d0e80cb4eb987193671a4138000.wav,coughing,3.1190968,mouse_click,3.528905,mouse_click,-1.2574757,door_wood_knock,0.2781158,0,0
132,132,5f4bed639c4347818896e62663855852.wav,cat,3.0447595,water_drops,1.9398265,cat,-2.9682364,mouse_click,0.8012186,0,0
133,133,508726d3000d4bb6ac4eaff286f99a89.wav,rooster,2.8019128,mouse_click,3.6054885,hen,-1.2426729,door_wood_knock,0.049005285,0,0
134,134,47ffc17bc55e4c1d8d9c807ba06598bf.wav,dog,2.7392678,dog,4.1971936,dog,-2.3193495,dog,-2.3189187,0,0
135,135,3ac1b80c7b3a40eb8394f959a7bb72ea.wav,chirping_birds,2.5605092,water_drops,1.7321558,hen,-2.3349266,chirping_birds,-0.68283296,0,0
136,136,630641536fcb452ea618f0ed4c8c722e.wav,car_horn,2.4022574,car_horn,2.4096115,dog,-0.6606654,water_drops,-2.3311286,0,0
137,137,42a0db1e0bc4417290ac5d2ebf199ff9.wav,coughing,2.4778562,dog,3.332456,dog,-1.872787,breathing,-2.148202,0,0
138,138,541ea484f3ea4fa79033da266d8064a8.wav,dog,2.7615638,dog,3.330543,chirping_birds,-1.8239948,hen,-2.2936823,0,0
139,139,bea5ca7cbfaa46c9ba30b9ef3e59b20a.wav,rooster,3.3353107,rooster,2.5303798,door_wood_knock,0.66660523,water_drops,-0.9816182,0,0
140,140,9ffbada27e3548798bbb2443d4c25653.wav,dog,3.633776,water_drops,2.1531289,breathing,-2.5889978,water_drops,-2.083799,0,0
141,141,507ff9ee6acd44cf9d96b9bc74ed86f8.wav,dog,3.9923449,water_drops,3.226569,coughing,-1.8372368,hen,-0.44122753,0,0
142,142,0533b48d4f6e4d93b4c0a0ea1e0b0562.wav,chirping_birds,2.958278,dog,4.353957,chirping_birds,-2.097643,hen,-0.47202936,0,0
143,143,eaf865ca4834428287f8bdbbcd7d6207.wav,siren,2.044532,hen,2.5251257,hen,-0.12603688,hen,-3.3297274,0,0
144,144,31c1a05259984bae84483e19a34c19b5.wav,dog,2.6976209,hen,3.2644188,mouse_click,-2.110833,hen,-0.67460716,0,0
145,145,2d3a08969fc84b61a09e3bc15ddef364.wav,dog,4.000418,dog,3.0083683,water_drops,-2.4044278,coughing,-0.79233176,0,0
146,146,dd2f33d6dd584907b759aabbdee6f4e4.wav,dog,3.698675,dog,4.943553,dog,-1.0764573,hen,-2.49721,0,0
147,147,e7a8a99c4a8e4016a8ce8bbcec8963de.wav,dog,3.6106274,dog,2.7071939,dog,-1.9825258,coughing,-2.1659834,0,0
148,148,3747b254216e49f8b634bd9f6a98ea89.wav,dog,4.228451,dog,3.5680792,water_drops,-1.5188532,coughing,-0.022952907,0,0
149,149,7b5150f7ad254f0a8ebfa4b909fe0cef.wav,dog,4.3929734,dog,3.6964917,water_drops,-2.1419582,water_drops,-2.2560878,0,0
150,150,b325ea8a542f40b6b67b786c88265614.wav,hen,2.6813533,dog,4.5035753,dog,-1.9803458,coughing,-0.4291823,0,0
151,151,8deae60ee9ef4263a22c5c266131da1d.wav,water_drops,0.97466207,chirping_birds,2.3987777,hen,-2.458143,glass_breaking,-2.2379215,0,0
152,152,95cb3e349a0d43718d6a318d890daf07.wav,dog,4.9314337,water_drops,2.2024064,drinking_sipping,-0.9589612,hen,0.8501059,0,0
153,153,62e4d440a553454590c3b34929b83282.wav,dog,2.9861693,dog,3.5118964,breathing,-0.9421214,coughing,-0.58403075,0,0
154,154,005339b0cfb7483bb45c5a3655432510.wav,dog,3.188375,mouse_click,3.372053,dog,-1.9304959,door_wood_knock,-0.23767771,0,0
155,155,45c272c969614ea7a51b32f533f44e04.wav,siren,2.3302062,hen,3.201238,hen,1.3131311,hen,-1.1466695,0,0
156,156,2a8e8c0545bc4441bc7b234f0522df24.wav,dog,3.6821942,dog,3.6763647,keyboard_typing,-0.0324557,hen,-0.67889965,0,0
157,157,7d1b2a862a2c432da7d02cc512445956.wav,hen,2.705901,dog,4.010378,hen,-3.6203747,hen,-1.4577011,0,0
158,158,06aa2d9286814f30be39e8a67c07c552.wav,dog,2.1633961,rooster,2.3389308,dog,-2.1266444,hen,-2.187422,0,0
159,159,81a110a2bc2f415db8434420e51d7171.wav,hen,2.9031749,dog,2.4842691,hen,-0.3584239,water_drops,-0.51786864,0,0
160,160,b4cda8fb96b84d66acb5209d7a43fa7a.wav,dog,3.3512876,dog,1.8273752,water_drops,-1.8379884,water_drops,-1.7744722,0,0
161,161,c480d3e531744e72bdd25d5ab0cc7d8d.wav,dog,3.649696,dog,3.6181424,vacuum_cleaner,-1.9015003,rain,-1.7980928,0,0
162,162,d945811698334ca0ac00b2e38e55f5c4.wav,dog,4.463045,dog,4.418978,water_drops,-0.8629631,coughing,-1.4959961,0,0
163,163,cb32b8c0531344fa8e581287f3039578.wav,dog,2.944567,water_drops,1.8183409,chirping_birds,-1.1033901,hen,-2.9591072,0,0
164,164,5d3830bbc62041ef9a640990f3d1f85b.wav,dog,4.712286,dog,3.7757,water_drops,-0.2886306,chirping_birds,-1.965272,0,0
165,165,852a874c45bf4d03ae06635c673e96e3.wav,dog,2.861678,dog,4.7531266,chirping_birds,0.13151638,mouse_click,-1.2800431,0,0
166,166,7e20f7c4ce274c369866b873be0a3f20.wav,dog,4.4485765,dog,4.445148,dog,-2.0053334,breathing,-2.4012787,0,0
167,167,3eeff54eee7b4f6db76373d6bbdd776b.wav,mouse_click,3.2430398,dog,4.6516776,door_wood_knock,1.8472015,glass_breaking,-3.2795448,0,0
168,168,a9fef8ab05fa41cdbc4bcb215738bb42.wav,rooster,2.7678237,dog,2.5989485,water_drops,-1.7784036,dog,-1.1917242,0,0
169,169,2142c672a15b401ab2960d8303ae135d.wav,dog,4.090099,dog,3.8495672,breathing,-1.8976693,water_drops,-3.4306967,0,0
170,170,21c759ee1f2b4d029453afe303dbd9c4.wav,snoring,2.7117817,water_drops,1.9587661,drinking_sipping,-0.64824104,coughing,-1.0471721,0,0
171,171,c6f9d9403318498fb0653cdbc4d244a1.wav,dog,2.162519,dog,2.749561,coughing,-2.599731,door_wood_knock,-1.2548996,0,0
172,172,6ff0a78f8c88427398dfcac79d787e6b.wav,dog,4.6194806,siren,2.846243,hen,-0.77672076,door_wood_knock,-1.4978203,0,0
173,173,10874472e5de4d45af13735ffaf5b333.wav,dog,2.5902522,water_drops,2.6096313,dog,-2.8689651,door_wood_knock,-0.6072167,0,0
174,174,a0caf0a2a3524b8dbe6f264be98f1cf4.wav,dog,4.293922,dog,3.5246973,dog,-2.700403,dog,-3.0622532,0,0
175,175,e341fb327cfe463aa9880f8bc8f30a73.wav,cat,2.5010648,dog,2.4699502,hen,-3.1910107,crow,-1.5469829,0,0
